"bac1" "dui08" "pred_male.fit" "pred_male.lwr" "pred_male.upr" "pred_white.fit" "pred_white.lwr" "pred_white.upr" "pred_acc.fit" "pred_acc.lwr" "pred_acc.upr"
"1" 0 0 0.801033764792577 0.769642216988989 0.832425312596165 0.839974971664525 0.812562295811548 0.867387647517502 0.171102847626683 0.147799338237102 0.194406357016263
"2" 0.02 0 0.79683436435217 0.774576107703674 0.819092621000665 0.84155005682359 0.82211302943089 0.860987084216289 0.149184942978433 0.132661530496535 0.165708355460331
"3" 0.04 0 0.792634963911763 0.779123332517135 0.806146595306392 0.843125141982654 0.831326106969047 0.854924176996261 0.127267038330184 0.117236681399606 0.137297395260761
"4" 0.06 0 0.788435563471356 0.781592183075165 0.795278943867548 0.844700227141718 0.838724243742837 0.850676210540599 0.105349133681934 0.100268951579512 0.110429315784356
"5" 0.08 1 0.790420397296326 0.783394010128706 0.797446784463947 0.851979051945761 0.845843257844475 0.858114846047047 0.0800809137498799 0.0748648766063798 0.0852969508933799
"6" 0.1 1 0.792362435604007 0.788084776998506 0.796640094209507 0.853866495978327 0.850131029683515 0.857601962273139 0.0959303002752781 0.0927547812437729 0.0991058193067832
"7" 0.12 1 0.794304473911688 0.789476298718336 0.799132649105039 0.855753940010893 0.851537734987654 0.859970145034131 0.111779686800676 0.108195491887549 0.115363881713803
"8" 0.14 1 0.796246512219368 0.7882209995076 0.804272024931136 0.857641384043458 0.850633103346433 0.864649664740484 0.127629073326074 0.12167133552974 0.133586811122409
"9" 0.16 1 0.798188550527049 0.786289344716896 0.810087756337201 0.859528828076024 0.849137844049926 0.869919812102122 0.143478459851473 0.134645086739053 0.152311832963892
"10" 0.18 1 0.80013058883473 0.784166315923802 0.816094861745657 0.86141627210859 0.847475467364783 0.875357076852397 0.159327846376871 0.147476771495017 0.171178921258725
"11" 0.2 1 0.80207262714241 0.781967662922762 0.822177591362058 0.863303716141156 0.845747051823829 0.880860380458483 0.175177232902269 0.160252316634961 0.190102149169577
"12" 0.22 1 0.804014665450091 0.779732041436021 0.828297289464161 0.865191160173721 0.843986353544807 0.886395966802636 0.191026619427667 0.173000418226755 0.209052820628579
"13" 0.24 1 0.805956703757772 0.777475714698742 0.834437692816802 0.867078604206287 0.842207574401311 0.891949634011263 0.206876005953065 0.18573314927985 0.228018862626281
"14" 0.26 1 0.807898742065452 0.775206658733412 0.840590825397493 0.868966048238853 0.84041767945669 0.897514417021016 0.222725392478464 0.198456430792985 0.246994354163942
"15" 0.28 1 0.809840780373133 0.772929229966328 0.846752330779938 0.870853492271419 0.83862047296114 0.903086511581697 0.238574779003862 0.21117349675837 0.265976061249354
"16" 0.3 1 0.811782818680814 0.770646004750762 0.852919632610866 0.872740936303984 0.836818204715711 0.908663667892258 0.25442416552926 0.223886259731355 0.284962071327165
"17" 0.32 1 0.813724856988495 0.76835860264417 0.859091111332819 0.87462838033655 0.835012288999297 0.914244471673803 0.270273552054658 0.236595921990102 0.303951182119215
"18" 0.34 1 0.815666895296175 0.766068092163552 0.865265698428798 0.876515824369116 0.833203658894599 0.919827989843633 0.286122938580056 0.249303276747996 0.322942600412116
"19" 0.36 1 0.817608933603856 0.763775206469465 0.871442660738246 0.878403268401682 0.831392954634229 0.925413582169135 0.301972325105454 0.262008868266636 0.341935781944273
"20" 0.38 1 0.819550971911537 0.761480465213145 0.877621478609928 0.880290712434248 0.82958063000374 0.931000794864755 0.317821711630853 0.274713082309013 0.360930340952692
"21" 0.4 1 0.821493010219217 0.759184246908809 0.883801773529625 0.882178156466813 0.827767015540756 0.93658929739287 0.333671098156251 0.287416199865084 0.379925996447418
"22" 0.42 1 0.823435048526898 0.756886833762161 0.889983263291634 0.884065600499379 0.825952357681466 0.942178843317292 0.349520484681649 0.300118430430198 0.3989225389331
"23" 0.44 1 0.825377086834579 0.754588440446114 0.896165733223043 0.885953044531945 0.824136843889038 0.947769245174852 0.365369871207047 0.312819933366749 0.417919809047346
"24" 0.46 1 0.827319125142259 0.752289233147899 0.902349017136619 0.887840488564511 0.822320619286507 0.953360357842514 0.381219257732445 0.325520832043797 0.436917683421094
"25" 0.48 1 0.82926116344994 0.749989342517807 0.908532984382072 0.889727932597076 0.820503797964268 0.958952067229884 0.397068644257844 0.338221223449559 0.455916065066128
"26" 0.5 1 0.831203201757621 0.747688872680848 0.914717530834393 0.891615376629642 0.818686470849509 0.964544282409776 0.412918030783242 0.350921184881216 0.474914876685267
"27" 0.52 1 0.833145240065301 0.745387907639872 0.920902572490731 0.893502820662208 0.816868711297734 0.970136930026681 0.42876741730864 0.363620778698268 0.493914055919012
"28" 0.54 1 0.835087278372982 0.743086515910121 0.927088040835843 0.895390264694774 0.815050579139896 0.975729950249651 0.444616803834038 0.376320055762991 0.512913551905085
"29" 0.56 1 0.837029316680663 0.740784753929799 0.933273879431526 0.897277708727339 0.813232123660668 0.981323293794011 0.460466190359436 0.389019057972275 0.531913322746597
"30" 0.58 1 0.838971354988343 0.738482668607744 0.939460041368943 0.899165152759905 0.811413385823201 0.986916919696609 0.476315576884834 0.401717820148886 0.550913333620782
"31" 0.6 1 0.840913393296024 0.736180299252505 0.945646487339543 0.901052596792471 0.809594399953696 0.992510793631246 0.492164963410233 0.414416371473519 0.569913555346947
"32" 0.62 1 0.842855431603705 0.733877679051198 0.951833184156212 0.902940040825037 0.807775195032808 0.998104886617266 0.508014349935631 0.427114736582622 0.58891396328864
